Datum	Union	SPD	AfD	FDP	Linke*	Grüne	Piraten	Andere
01.07.21	28	15	11	11	7	20	-	8
25.06.21	28	15	12	11	6	21	-	4
10.06.21	28	14	12	12	7	20	-	7
14.05.21	24	15	11	12	7	25	-	6
06.05.21	23	14	12	11	6	26	-	8
16.04.21	28	15	11	11	7	21	-	7
01.04.21	27	16	11	9	7	22	-	8
19.03.21	29	17	11	9	7	20	-	7
04.03.21	33	16	11	7	7	20	-	6
19.02.21	33	16	11	8	6	20	-	6
04.02.21	34	15	10	8	6	21	-	6
22.01.21	34	15	10	7	6	21	-	7
07.01.21	35	14	10	7	7	21	-	6
11.12.20	36	16	9	6	7	20	-	6
03.12.20	36	15	10	6	7	21	-	5
27.11.20	35	15	11	7	7	21	-	4
12.11.20	36	15	10	6	7	20	-	6
16.10.20	35	15	11	6	7	20	-	6
01.10.20	35	15	10	6	8	21	-	5
18.09.20	36	16	10	5	8	20	-	5
03.09.20	36	17	10	6	7	19	-	5
21.08.20	37	16	10	6	8	17	-	6
06.08.20	38	15	11	6	7	18	-	5
24.07.20	37	14	11	5	7	20	-	6
02.07.20	37	16	10	5	7	20	-	5
26.06.20	37	16	10	5	7	20	-	5
04.06.20	38	15	9	6	8	19	-	5
15.05.20	38	15	10	6	7	18	-	6
07.05.20	39	16	9	5	8	18	-	5
17.04.20	38	17	9	5	7	19	-	5
02.04.20	34	16	10	5	7	22	-	6
20.03.20	30	14	10	7	9	23	-	7
05.03.20	27	16	12	6	9	23	-	7
13.02.20	26	16	14	7	9	22	-	6
06.02.20	27	14	14	8	9	22	-	6
24.01.20	26	14	14	8	8	24	-	6
09.01.20	27	13	14	9	8	23	-	6
13.12.19	27	14	15	8	8	21	-	7
05.12.19	25	13	15	9	8	23	-	7
15.11.19	25	15	14	7	9	22	-	8
07.11.19	26	14	14	8	9	22	-	7
18.10.19	28	14	14	7	8	22	-	7
11.10.19	28	13	14	7	8	24	-	6
20.09.19	27	14	14	8	8	23	-	6
05.09.19	27	14	15	7	7	23	-	7
23.08.19	26	14	14	7	7	25	-	7
01.08.19	26	12	14	8	7	26	-	7
26.07.19	26	13	12	9	8	26	-	6
04.07.19	25	13	13	8	8	26	-	7
28.06.19	26	13	12	9	7	25	-	8
06.06.19	25	12	13	8	7	26	-	9
17.05.19	29	17	13	8	8	18	-	7
02.05.19	28	18	12	8	9	20	-	5
18.04.19	29	16	13	8	8	21	-	5
04.04.19	29	17	12	9	8	20	-	5
